e1,event,[cro_0] -> cI_0 cI_1,0
e2,event,[cI_0] -> cro_0 cro_1,0
e3,event,[cI_0;cro_0] -> N_0 N_1,0
e4,event,[cI_1] -> cro_0 cro_1,0
e5,event,[cro_0] -> cI_0 cI_1,0
e6,event,[cI_0] -> cro_1 cro_2,0
e7,event,[cI_0;cro_1] -> N_0 N_1,0
e8,event,[cI_0] -> cro_0 cro_1,0
e9,event,[N_1;cI_0;cro_0] -> cII_0 cII_1,0
e10,event,[cI_1;cro_0] -> N_1 N_0,0
e11,event,[cII_1] -> cI_0 cI_1,0
e12,event,[cII_0;cro_1] -> cI_1 cI_0,0
e13,event,[cI_1] -> cro_1 cro_2,0
e14,event,[cI_1] -> cro_0 cro_1,0
e15,event,[N_1;cI_1;cro_0] -> cII_0 cII_1,0
e16,event,[cro_0] -> cI_0 cI_1,0
e17,event,[cI_0] -> cro_1 cro_2,0
e18,event,[cI_0] -> cro_1 cro_2,0
e19,event,[cI_0] -> cro_2 cro_3,0
e20,event,[N_1;cI_0;cro_1] -> cII_0 cII_1,0
e21,event,[N_1;cI_0;cro_1] -> cII_0 cII_1,0
e22,event,[cI_0] -> cro_0 cro_1,0
e23,event,[cI_0;cro_2] -> N_1 N_0,0
e24,event,[cI_0;cro_2] -> N_1 N_0,0
e25,event,[cI_1;cro_1] -> N_1 N_0,0
e26,event,[cI_1;cro_0] -> N_1 N_0,0
e27,event,[cI_1] -> cro_0 cro_1,0
e28,event,[cI_1;cro_0] -> N_1 N_0,0
e29,event,[cI_1;cro_0] -> N_1 N_0,0
e30,event,[cI_1] -> cro_0 cro_1,0
e31,event,[cII_1] -> cI_0 cI_1,0
e32,event,[cII_1] -> cI_0 cI_1,0
e33,event,[cII_1] -> cI_0 cI_1,0
e34,event,[cII_0;cro_2] -> cI_1 cI_0,0
e35,event,[cI_0] -> cro_1 cro_2,0
e36,event,[cI_0;cro_1] -> N_0 N_1,0
e37,event,[cII_0;cro_1] -> cI_1 cI_0,0
e38,event,[cI_1] -> cro_1 cro_2,0
e39,event,[cI_1] -> cro_2 cro_3,0
e40,event,[N_1;cI_1;cro_1] -> cII_0 cII_1,0
e41,event,[cI_1] -> cro_0 cro_1,0
e42,event,[cI_1] -> cro_0 cro_1,0
e43,event,[N_1;cI_0;cro_2] -> cII_0 cII_1,0
e44,event,[N_1;cI_0;cro_2] -> cII_0 cII_1,0
e45,event,[cI_0] -> cro_1 cro_2,0
e46,event,[cI_0] -> cro_1 cro_2,0
e47,event,[cI_0] -> cro_1 cro_2,0
e48,event,[cI_0] -> cro_2 cro_3,0
e49,event,[cI_0] -> cro_2 cro_3,0
e50,event,[cI_0;cro_3] -> N_1 N_0,0
e51,event,[cI_0;cro_3] -> N_1 N_0,0
e52,event,[cI_0;cro_2] -> N_1 N_0,0
e53,event,[cI_0;cro_2] -> N_1 N_0,0
e54,event,[cI_0;cro_2] -> N_1 N_0,0
e55,event,[cI_0;cro_2] -> N_1 N_0,0
e56,event,[cI_0;cro_2] -> N_1 N_0,0
e57,event,[cI_0] -> cro_2 cro_3,0
e58,event,[cI_0] -> cro_2 cro_3,0
e59,event,[cI_1;cro_1] -> N_1 N_0,0
e60,event,[cI_1;cro_1] -> N_1 N_0,0
e61,event,[cI_1;cro_1] -> N_1 N_0,0
e62,event,[cI_1;cro_1] -> N_1 N_0,0
e63,event,[cII_0;cro_1] -> cI_1 cI_0,0
e64,event,[cI_1] -> cro_1 cro_2,0
e65,event,[cI_1;cro_1] -> N_1 N_0,0
e66,event,[cI_1;cro_1] -> N_1 N_0,0
